Time of immersion (hours);Frequency (Hz);Zre (ohms);Zim (ohms);Sample
72;7943,2822265625;76,7758415830407;-2,46825678633775;LDH-M2-6-18h-DS
72;6309,5732421875;76,8894916613561;-2,8072224712603;LDH-M2-6-18h-DS
72;5011,87255859375;77,1271178494092;-3,18967788787095;LDH-M2-6-18h-DS
72;3981,07177734375;77,2659714403783;-3,69978284482902;LDH-M2-6-18h-DS
72;3162,27758789063;77,5441043430322;-4,36503524636646;LDH-M2-6-18h-DS
72;2511,88647460938;77,8504809194195;-5,26680425827333;LDH-M2-6-18h-DS
72;1995,26232910156;78,0990256048271;-6,10444421118933;LDH-M2-6-18h-DS
72;1584,89318847656;78,5859059896584;-7,32723992753289;LDH-M2-6-18h-DS
72;1258,92541503906;79,0431091481656;-8,76233019281652;LDH-M2-6-18h-DS
72;1000;79,5794307670105;-10,4623131134995;LDH-M2-6-18h-DS
72;794,328247070313;80,1579079111505;-12,4970644574771;LDH-M2-6-18h-DS
72;630,957336425781;81,0589053791174;-15,1516567582897;LDH-M2-6-18h-DS
72;501,187225341797;81,9184165153676;-18,106854385916;LDH-M2-6-18h-DS
72;398,107177734375;83,1050164226541;-21,8516915093957;LDH-M2-6-18h-DS
72;316,227752685547;84,5046236483568;-26,6198343680063;LDH-M2-6-18h-DS
72;251,18864440918;86,1048123014562;-31,7392401883411;LDH-M2-6-18h-DS
72;199,526229858398;88,2546217662409;-38,5281390773314;LDH-M2-6-18h-DS
72;158,489318847656;91,0808445278287;-46,8884683760947;LDH-M2-6-18h-DS
72;125,892539978027;94,2510453874857;-56,1156891722974;LDH-M2-6-18h-DS
72;100;98,6507743644238;-67,8847922575322;LDH-M2-6-18h-DS
72;79,4328231811523;104,148502455637;-81,7265512381593;LDH-M2-6-18h-DS
72;63,0957336425781;111,014354441948;-97,0699374271475;LDH-M2-6-18h-DS
72;50,118724822998;120,091127976709;-116,511529045981;LDH-M2-6-18h-DS
72;39,810718536377;132,732289138833;-140,370783326762;LDH-M2-6-18h-DS
72;31,6227760314941;147,359695797741;-164,956458127806;LDH-M2-6-18h-DS
72;25,1188640594482;166,897197859008;-193,958218708007;LDH-M2-6-18h-DS
72;19,9526233673096;192,841734797386;-228,515175480737;LDH-M2-6-18h-DS
72;15,8489322662354;222,432165701226;-262,583506889403;LDH-M2-6-18h-DS
72;12,5892543792725;258,264857554537;-299,01593643892;LDH-M2-6-18h-DS
72;10;300,748318924228;-338,068208537902;LDH-M2-6-18h-DS
72;7,94328212738037;350,297710503434;-378,049825450541;LDH-M2-6-18h-DS
72;6,30957365036011;405,17333419161;-419,107009864608;LDH-M2-6-18h-DS
72;5,01187229156494;465,177185898893;-460,668939455773;LDH-M2-6-18h-DS
72;3,98107171058655;530,781311144816;-504,202071854282;LDH-M2-6-18h-DS
72;3,16227769851685;601,5106204442;-550,343149589827;LDH-M2-6-18h-DS
72;2,51188635826111;677,290607997801;-599,488579899126;LDH-M2-6-18h-DS
72;1,99526226520538;759,257822685545;-651,677539587755;LDH-M2-6-18h-DS
72;1,58489322662354;846,948476186289;-708,580880277878;LDH-M2-6-18h-DS
72;1,25892543792725;942,293024617366;-773,008405276397;LDH-M2-6-18h-DS
72;1;1040,56096831459;-839,156030879896;LDH-M2-6-18h-DS
72;0,794328212738037;1151,97046088963;-916,633198207097;LDH-M2-6-18h-DS
72;0,630957365036011;1275,6833881207;-1004,18131683138;LDH-M2-6-18h-DS
72;0,501187205314636;1414,91937709176;-1101,90742987173;LDH-M2-6-18h-DS
72;0,398107171058655;1573,32919888972;-1204,96900073366;LDH-M2-6-18h-DS
72;0,31622776389122;1750,62940060308;-1312,82309867731;LDH-M2-6-18h-DS
72;0,251188635826111;1949,46751303366;-1426,62324079365;LDH-M2-6-18h-DS
72;0,199526235461235;2171,0418840354;-1539,45410560873;LDH-M2-6-18h-DS
